"id","REF MLH","REF. HESPERIA","YACIMIENTO","MUNICIPIO","MATERIAL","OBJETO","TIPO SOPORTE","signario paleohispánico?","TEXTO","APARATO CRÍTICO","LENGUA"
"3","C.51.01.S1","GI.11.01","La Ciutadella de Roses","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","obi",,"IBERICO"
"4","C.03.03.S1","GI.08.05","El Mas Castellar","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","$[---]takokoba[---]&","$[---]takokoba[---]&, $tákokóki& Moncunill, a) $[---]bokokoba[---]& o $[---]bokoko I[---]& o $[---]bo XXI[---]& b) $[---]baki[---]& Panosa","IBERICO"
"5","C.03.04.S1","GI.08.11","El Mas Castellar","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","[---]eś"," ","IBERICO"
"6","C.01.34.S1","GI.10.30","Empúries","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","[---]$ban&","$ban&, $IN& Panosa $ḿn& ELM","IBERICO"
"7","C.01.25.S1","GI.10.21","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","kans+",,"IBERICO"
"8","C.07.09.S1","B.44.09","Ilduro I (Burriac)","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","kue",,"IBERICO"
"9","C.07.10.S1","B.44.01","Ilduro I (Burriac)","Barcelona","CERAMICA","Tapadera","PROPIEDAD","LEVANTINO","$atinsin&","$atinsin&, $tinin& Velaza $atinin& Panosa","IBERICO"
"10","C.07.11.S1","B.44.13","Ilduro I (Burriac)","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","$la&","$la&, $AR& E","IBERICO"
"11","C.07.12.S1","B.44.12","Ilduro I (Burriac)","Barcelona","CERAMICA","Ánfora","PROPIEDAD","LEVANTINO","$bala+&","$bala+&, $balai& o $balan& Panosa;","IBERICO"
"12","C.07.13.S1","B.44.24","Can Rodon de l&#039;Hort","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","$biuŕtir&","$biuŕtir&, $luŕtia& Panosa;","IBERICO"
"13","C.07.14.S1","B.44.22","Can Miralles-Can Modolell","Barcelona","CERAMICA","INSTRUMENTO","PROPIEDAD","LEVANTINO","$ka&ileśketin$+ XIII&","$ka&, $ti& Velaza 1991, $i& Luján; $+ XIII&: $XIII&, $+III& Panosa 1999","IBERICO"
"14","C.07.15.S1","B.44.17","El Turó dels Dos Pins","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","tiki$r&","$r&, $tu& Luján, García Roselló 1987","IBERICO"
"15","C.07.16.S1","B.44.16","El Turó dels Dos Pins","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","bantoŕenḿibaikar",,"IBERICO"
"16","C.30.01.S1","B.43.01","La Cadira del Bisbe","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","kátón",,"IBERICO"
"17","C.54.01.S1","B.42.01","Cal Ros de les Cabres","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","[---]$ku-s&[---]","$ku-s&, $o-s& o $s-ku& E","IBERICO"
"18","C.08.04.S1","B.41.17","Baetulo","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","[---]$+ti&","$+ti&, $ati& E;","IBERICO"
"19","C.08.05.S1","B.41.14","Baetulo","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","si",,"IBERICO"
