REF. HESPERIA,cleaned
GI.11.01,['obi']
GI.08.05,['---takokoba---']
GI.08.11,['---eś']
GI.10.30,['---ban']
GI.10.21,['kans+']
B.44.09,['kue']
B.44.01,['atinsin']
B.44.13,['la']
B.44.12,['bala+']
B.44.24,['biuŕtir']
B.44.22,['kaileśketin+ XIII']
B.44.17,['tikir']
B.44.16,['bantoŕenḿibaikar']
B.43.01,['kátón']
B.42.01,['---ku-s---']
B.41.17,['---+ti']
B.41.14,['si']
B.41.16,['---baś']
B.41.13,['lku']
B.41.11,['karkankati']
B.41.10,['ei']
B.41.07,['l+---']
B.41.15,['tin---']
B.41.06,['iun']
B.37.03,['baikar']
B.37.04,['uatina']
B.36.03,['iko']
B.36.05,['---ba+---']
B.36.LATINA,['VV']
B.36.06,['---esa']
B.36.08,['---+eti+---']
B.36.07,['---mba+---']
B.36.02,['tau---']
B.36.04,['laku']
B.36.01,['skéŕlakónaŕankókólo---']
B.16.01,['ai']
B.16.02,['bai---']
B.16.04,['use---']
B.17.11,['---lau']
B.20.14,['---kule']
B.20.04,['bilosaŕkértekiar']
B.13.01,['atuŕo---']
B.14.01,['lal']
B.14.02,"['lu', '']"
B.14.03,['baŕ']
B.12.06,"['o', 'a']"
B.12.07,['----s']
B.12.01,['ata']
B.12.03,['ḿba']
B.12.05,['ube']
B.12.02,['itiḿ']
B.12.08,"['alauke', 'ti']"
B.10.01,"['---ti', '+']"
T.03.04,['']
T.14.02,['taŕ']
T.14.03,['stu---']
B.41.12,"['la', 'ka']"
GI.17.01,['ul']
GI.17.02,['---lkoti']
GI.10.19,['tuŕśbiuŕar']
GI.10.16,['bikitiŕ']
GI.10.17,['biuŕtáŕar']
GI.10.18,['kibas']
GI.10.20,['unbas']
T.07.02,"['', '---uteska:eŕkaikiśoka:baŕbinkite', '---kianaiunortiniku:śalirotanai', '---ultibeikate:śalir:siatikanis:', '---tike', 'aiunortinikabitaŕanteśir']"
T.07.04,"['------+', 'iunsti-', 'r:banbite-', 'ŕoka :', '--+e', '------']"
T.00.03,"['---ŕskáito+---', '---+silunini+---', '---bekeŕtiniŕiká---']"
T.00.01,"['koŕasiŕen:e Π I', 'neŕseoŕtinika:e I I', 'kaisuŕanaŕika:I I']"
L.10.01,['aŕsi---']
L.08.02,['bin++---']
GI.10.03,"['------', '---+++ke---', '---inti : tan+---', '---+ke : koŕnel+---', '---ite : ika+---', '--- : s---', '------']"
GI.10.04,"['------', '---tineoś---', '---+tikirsakaŕ', '---++i---r', '------']"
GI.10.05,"['------', '---+---', '---ko:ne---', '---+rśar---', '---s:---', '------']"
B.44.15,['ata']
B.15.02,['beikankine']
B.39.01,"['iunia', 'bo']"
GI.08.13,"['oli ti', '']"
B.43.05,['lauŕko']
B.43.02,['---teḿr']
GI.19.01,['bil']
B.18.01,['bakaśutaŕte']
T.03.01,"['nio', '']"
B.04.01,['beŕbaiekinetiḿi']
GI.10.06,"['------', '---ta+ltanki---', '---lakiniki---']"
GI.10.10,"['lakeŕeiartuŕu baisebilos : beleśta banar : or', '+re enatilar']"
GI.10.12,"['', 'nalbesosin', 'lakun uralaśkaŕ', 'akaśtikeŕ siken+++', 'aŕtakalebalkeaŕ++', '++talon', 'sikounin', 'ilakotinebabon', 'abatulkatuŕabaniu', '']"
GI.10.13,['bintaŕe']
GI.10.14,['sorseiteŕkeboiḿi']
GI.10.15,"['goŕotiginai', 'ukal', 'auŕkeŕen']"
GI.10.28,['ultibeleś']
GI.10.22,['balkar---']
GI.10.LATINA,"['', 'iueś', 'ubieke', 'uḿbal', '']"
GI.10.26,['nu']
GI.10.24,"['ka', 'noa+', 'bin', 'oka+']"
GI.10.23,['ben']
GI.10.27,['on']
GI.10.29,['uo']
GI.10.25,['is']
GI.10.31,"['takoe', 'otin', '']"
GI.10.32,"['bin', 'en']"
GI.15.01,['---abeŕbu---']
GI.15.02,['---i+']
GI.15.04,"['', 'ar:basiaŕebe', 'ebaŕikáme:túikésiŕa:borsté:abaŕkeborsté:téŕ', 'tiŕs:baitesbi:neitékeŕu:táŕbelioŕkú:tímoŕ', 'kíŕ:bartaśkó:anbeikú:baitesir:saltukó:kúletábeŕkú+', 'bikiltiŕsté:eŕeśu:kótibanen:eberka:táśkáliŕs', 'loŕsa:batíbi:biuŕtáneś:saltukileŕkú:ki', 'taŕun:atábaker:abaśaker:tásbeŕiun:erna:borakáu', '']"
